Alert,Description,Date
Road to Exit Glacier closed to automobiles for the winter,The road to Exit Glacier is now closed to automobile access at mile 1.3 of the Herman Leirer Road for the winter season.,2023-01-06 17:47:15.0
Parking Tags Required Beginning March 1,Parking tags required for all vehicles parking for longer than 15 minutes starting March 1.,2023-01-06 14:30:31.0
Current Trail Access,Due to damage from the Tunnel Fire the Lava's Edge and Lenox Crater Trails remain closed. The A'a and Lava Flow trails are open.,2023-01-06 10:33:29.0
Winter Seasonal Road Closures,"Portions of the Teton Park Road (Taggart Lake TH to Signal Mt.), Moose-Wilson Road (Granite Canyon TH to Death Canyon Road), and other roads are closed to vehicles. Check the Grand Teton Roads page for the latest seasonal and weather related closures.",2023-01-05 13:34:57.0
Williams Ranch Road Closed,The Williams Ranch Road is currently impassable and closed to public access due to unsafe conditions.,2023-01-05 10:48:00.0
COVID-19 Mask Requirement,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to Roger Williams National Memorial, regardless of vaccination status, are required to wear a mask inside all park buildings.",2023-01-05 10:36:00.0
Park Headquarters Building Access,The park headquarters building may be entered Monday through Friday 8 - 4:30 pm. Located on the park entrance doors are phones numbers to gain access.,2023-01-05 08:37:51.0
Eastern access to Backcountry Camping is closed,Accessing Backcountry Camping through the Otis Pike Wilderness is temporarily closed due to beach conditions. The park will reassess and update accordingly.,2023-01-05 08:36:24.0
"New Operating Hours Starting January 4, 2023","Starting January 4, 2023 the Visitor Center operating hours will be open from Thursday-Sunday 10:00 AM - 4:00 PM. This schedule will remain in place through March 31, 2023",2023-01-04 18:54:37.0
Sandburg Home Visitor Center/Park Store and Tours Open Saturday and Sunday,"The Visitor Center/Park Store is open Sat and Sun from 10am-4pm. Tours are available at 11am, 1pm, 2pm. Tour reservations strongly recommended at Recreation.gov. Day-of-visit tickets rarely available.",2023-01-04 16:32:10.0
Pedestrian Bridge at Front Lake is Closed,"The pedestrian bridge at the main entrance to the park is closed. During the closure, visitors must walk an additional 0.4 mile around Front Lake, and then 1/3 mile up a hill to the Sandburg Home and farm. For accessibility options, call 828-707-8125.",2023-01-04 16:30:57.0
Walnut Canyon National Monument Hours and Trail Information,"Walnut Canyon is open daily from 9:00-5:00. The Island Trail is open from 9:00-4:00 and the Rim Trail is open from 9:00-4:30. Hikers must begin the trails before their closure times. There is no access to park trails, viewpoints or facilities after hours.",2023-01-04 13:02:01.0
Visitor Center Closed Monday and Tuesday,"The Visitor Center at George Washington Birthplace National Monument is closed on Mondays and Tuesdays. Park grounds are open daily 9:00 - 5:00 pm. On Mondays and Tuesdays, there are no tours of the Memorial House Museum.",2023-01-04 12:16:05.0
Seasonal Campground Closures,"Campgrounds may close seasonally, temporarily for repairs, or for resource concerns. For more information contact the Oasis Visitor Center at 239-695-4111 or the Nathaniel P. Reed Visitor Center at 239-695-695-4758 or visit our campground page.",2023-01-04 08:53:25.0
"Mask Policy - December 30th, 2022",Masks are required in all shuttles and park vehicles.,2022-12-30 11:04:06.0
"Mask Policy - December 30th, 2022",Masks are required in all park shuttles and vehicles.,2022-12-30 11:02:45.0
"Mask Policy - December 30th, 2022",Visitors are required to wear masks inside the shuttles and park vehicles.,2022-12-30 10:59:05.0
"Mask Policy - December 30, 2022",Masks are required inside all park shuttles and vehicles.,2022-12-30 10:57:55.0
Winter is here!,Grand Portage receives a significant amount of snow and high winds. Old Highway 61(County Road 17) is not plowed and seldom traveled. Please use caution or avoid this unmaintained road for the season. Also be mindful of trees falling if hiking in the area,2022-12-28 11:42:43.0
Road paving along Main Park Road - construction vehicles and altered traffic patterns,"Watch out for workers, construction vehicles, and changes to the traffic patterns. Locations along the main park road and in Flamingo have paving work occurring in upcoming weeks.",2022-12-28 10:08:02.0
Going-to-the-Sun Road Construction Closure,The Going-to-the-Sun Road (GTSR) is closed on the west side of the park at the four-way intersection in Apgar due to a construction project. The road closure on the east side of the park is 1.5 miles west of the St. Mary Visitor Center.,2022-12-27 15:43:49.0
The North Rim is Closed for the Winter,The North Rim will open for the 2023 season on May 15. Lodging reservations are recommended. Campground reservations are required.,2022-12-26 21:43:04.0
Harbor Seal Pupping Season Closures are in effect from March 1 through June 30.,"From March 1 through June 30, the park implements closures of Drakes Estero, Double Point, & the western end of Limantour Spit to protect harbor seals during the pupping season. Please avoid disturbing seals to ensure a successful pupping season.",2022-12-24 17:54:27.0
Crater Lake National Park is a Snow Zone,"Roads are plowed, but icy and snow covered. Crater Lake National Park is a Snow Zone - chains or traction tires are required when entering the park and must be the correct size and quantity for the vehicle. All ODOT regulations apply.",2022-12-23 16:38:22.0
Pet Owners: Annual closure of a portion of Point Reyes Beach to pets from March 1 to September 30.,Point Reyes Beach between the North Beach parking lot and Kehoe Beach Trail is closed to pets from March 1 to September 30 to better ensure the survival of snowy plover nests and chicks.,2022-12-23 14:21:03.0
Fire Island Lighthouse Maintenance,The northeast corner of the Lighthouse Terrace will not be accessible due to ongoing maintenance in the area. The Keepers Quarters Museum and Gift Shop remain available.,2022-12-22 12:49:35.0
South Cut trail Partially Closed,South Cut Trail is closed between the main road and Killman Field trail due to washout along the trail. Detour for that section is along Killman Field trail. South Cut trail from Killman Field trail to the beach is open.,2022-12-22 12:15:18.0
Masking at Thomas Edison NHP,"Masks are required in buildings when the CDC has marked the COVID-19 Community Level HIGH for Essex County. On the site, enter New Jersey as the state and Essex as the county. Guidance updates every week by Friday. Check the Site here for current level:",2022-12-22 12:05:27.0
The wearing of masks inside the WNPA Park Store is appreciated.,"Due to the Medium Transmission Rate in Bernalillo County, wearing a mask inside federal buildings is suggested and appreciated. This includes the WNPA Park Store/Gift Shop. Masks are not provided to visitors. Have your own mask if you want to shop.",2022-12-21 16:36:46.0
Migrant Notice,"Like elsewhere in the Florida Keys, we have recently seen an increase in Cuban migrants arriving by boat from Cuba and landing on the islands of Dry Tortugas National Park. You may observe migrant landings at the park and visitor areas may be impacted.",2022-12-21 13:55:40.0
Upper Cliff Dwelling Tours Full,"Upper Cliff Dwelling tours are fully booked through the April 2023 season. Cancellations may occur, but they are rare. Reservations for next season will be taken starting October 1, 2023 for November 2023-April 2024.",2022-12-20 12:22:34.0
NPS Roads 5 & 6 not maintained in winter,NPS Roads 5 & 6 are open but not maintained in winter and may be impassable at times.,2022-12-19 18:01:14.0
Mask Wearing Guidance,"In accordance with current CDC guidance, masks are not required inside federal buildings if community transmission levels are low-medium. Masks are required when Coconino County levels are high.",2022-12-17 19:08:22.0
Rabbit Hemorrhagic Disease Confirmed in Arizona,"The Arizona Game and Fish Department and the Arizona Department of Agriculture have confirmed rabbit hemorrhagic disease virus (RHDV2) in Arizona cottontails and black-tailed jackrabbits. As always, please do not approach any wildlife during your visit.",2022-12-17 19:05:26.0
Mask Wearing Guidance,"In accordance with current CDC guidance, masks are not required inside federal buildings if community transmission levels are low-medium. Current Coconino County COVID transmission levels are medium.",2022-12-17 17:01:43.0
Mask Wearing Guidance,"In accordance with current CDC guidance, masks are not required inside federal buildings if community transmission levels are low or medium. Current Coconino County COVID transmission levels are medium.",2022-12-17 16:35:27.0
Winter Weather,Park Facilities and roads may not be accessible due to snow. Please call the park at 701-623-4466 for updates.,2022-12-16 18:16:08.0
Montezuma Canyon Road to Montezuma Pass,The two miles of dirt road beyond the visitor center and up to Montezuma Pass is extremely rough. Currently vehicles without high clearance should not attempt the drive. Four-wheel drive is also recommended when the road is wet.,2022-12-16 17:47:41.0
