Alert,parkCode,Description,Date,Park Name
"Temporary Closure of Chubb Hollow, including pavilion, group sites and trail access",ozar,"A temporary closure of the Chubb Hollow area, including pavilion, group camping sites and trail access is in effect. This closure is due to renovation of the area in conjunction with the Big Spring Lodge and Cabins project.",2022-08-30 15:04:46.0,Ozark National Scenic Riverways
Temporary Closure of Tram Road (NPS 123),ozar,NPS Road 123 (Tram Road) is temporarily CLOSED due to roadway collapse from heavy rainfall. The roadbed and adjacent bank are unstable due to saturated soil. Road will reopen when repairs have been completed.,2022-04-20 16:10:15.0,Ozark National Scenic Riverways
Visitor Contact Station Closed For Season,piro,"The visitor contact station at Munising Falls is closed for the season. Click ""More"" to buy park passes online. Information/map boards are set up in the Munising Falls parking lot.",2023-03-28 08:23:35.0,Pictured Rocks National Lakeshore
Park Entrance Fee Increase,piro,"Park entrance fees will increase beginning January 1, 2023. See the park fee web page for more information.",2022-12-15 14:59:46.0,Pictured Rocks National Lakeshore
Other Closures,piro,"All the park's drive-in campgrounds are closed for the season. All vault toilets in the park have been shut down, except at Sand Point and Grand Sable Visitor Center parking lot. Flush toilet at Munising Falls remains open.",2022-11-15 13:58:55.0,Pictured Rocks National Lakeshore
Miners Beach Staircase Closed,piro,"The main staircase at Miners Beach (closest to the west end parking lot) was damaged in the 10/18/22 storm and is not usable. There are two other staircases leading down to the beach, at the east and west ends of the beach.",2022-10-24 08:33:23.0,Pictured Rocks National Lakeshore
Winter/Spring Road Conditions,piro,"Park roads & eastern portion of H-58 are not plowed in winter. Roads open when snow melts (usually April/May). Spring conditions: snow, freezing rain, trees down, snowmobile studs on roads, black ice, and mud.",2021-03-31 09:32:37.0,Pictured Rocks National Lakeshore
Timed Entry Reservation Pilot 2023,arch,"To enter the park from April 1 to October 31, 2023, visitors need a Timed Entry Ticket. We encourage you to reserve yours on Recreation.gov up to three months prior to visiting. Extra tickets become available for day-before purchase.",2023-03-27 16:01:13.0,Arches National Park
Vegetation Pile Burning Possible,arch,"When weather permits, we may burn vegetation piles near park roads. Burns are being completed in order to consume existing woody and herbaceous material from exotic plant management projects in the park.",2023-03-27 11:44:57.0,Arches National Park
Vegetation Pile Burns Possible,cany,"When weather permits, we may burn vegetation piles near park roads. Burns are being completed in order to consume existing woody and herbaceous material from exotic plant management projects in the park.",2023-03-27 11:49:00.0,Canyonlands National Park
Hazardous Trail Conditions,cany,"Many hiking trails are snow-covered and icy, over-the-shoe traction devices are recommended.",2023-03-08 13:22:41.0,Canyonlands National Park
Expect long lines to enter the park,cany,"Between March and November, particularly on busy holiday weekends, you may experience long lines at the entrance road. Parking lots at popular trailheads and viewpoints will fill early. Pack your patience and arrive early to avoid crowds.",2022-08-29 14:22:46.0,Canyonlands National Park
Difficult conditions complicate Cataract Canyon takeouts,cany,"Hite Ramp is closed. The North Wash take-out is a primitive, unimproved dirt take-out. You will not be able to back a trailer down the dirt slope. Recent washouts have further deteriorated conditions.",2022-06-24 12:44:28.0,Canyonlands National Park
Partial Trail Closures Due to Ice and Snow,elmo,The Headland Trail is open to Atsinna Pueblo and across the mesa top. The north side of the trail remains closed due to icy conditions. The Inscription Loop Trail is open to Marker #16.,2023-03-27 11:01:15.0,El Morro National Monument
Park Closed Tuesdays and Wednesdays,elmo,"The visitor center and all park trails are closed on Tuesdays and Wednesdays. Open Thursday through Monday, from 9 am - 5 pm. Hiking park trails is not permitted when the park is closed.",2023-03-26 14:46:02.0,El Morro National Monument
Offseason Reminder,elmo,"At this time of year, the visitor center and park trails are entirely closed on Tuesdays and Wednesdays. Please plan accordingly.",2023-03-20 20:35:27.0,El Morro National Monument
Water in Campground is Shut Off,elmo,The water in the campground has been shut off for the winter due to freezing temperatures. Visitors are encouraged to bring their own supply. Small water containers may also be filled in the visitor center during business hours (9 am - 5 pm).,2019-12-01 11:42:41.0,El Morro National Monument
Road Conditions (3/26/23),chcu,"CR 7950 and Highway 57 have dried out after the steady rains last week, making both roads passable. Continue to use caution when entering and exiting the park. Please call the visitor center (505-786-7014) for any recent changes to road conditions.",2023-03-26 17:25:56.0,Chaco Culture National Historical Park
Mesa Verde Closures,meve,"While much of the park is open, Mesa Verde has several safety and project-related closures in place, including the Wetherill Mesa Road, the Chapin Mesa Museum, and Spruce Tree House. Follow the link for more information.",2023-03-25 13:29:17.0,Mesa Verde National Park
Winter Conditions,meve,"Winter weather is variable at Mesa Verde. Snow is always possible and icy conditions will sometimes close the park road. All activities depend on road, trail, and weather conditions. Check https://www.facebook.com/mesaverdenps/ for current conditions.",2022-12-13 11:16:06.0,Mesa Verde National Park
NPS 300 Road Conditions,elma,"NPS 300 to Big Tubes is currently rutted, icy, and muddy in many places. High clearance is highly recommended and four-wheel drive is likely required. We do not recommend travel on this road or on Co Rd 42 while snow persists or while snow melts.",2023-03-24 16:09:58.0,El Malpais National Monument
All Lava Tube Caves Closed November 1st Through April 30th,elma,All park lava tube caves are closed for the winter from November 1st through April 30th to protect hibernating bats. This closure does not affect the Junction Bridge Cave at the start of El Calderon Trail.,2022-10-26 11:56:27.0,El Malpais National Monument
General Operating Hours Udate,anjo,"Due to staffing, the site will continue with its Wednesday through Sunday, 9 a.m. to 4 p.m. schedule until further notice. On days with limited staffing, Homestead tours may be offered at 11:30 and 2:30 with the Visitor Center closed during tour times.",2023-03-24 15:53:56.0,Andrew Johnson National Historic Site
Depot Street Work/Closures,anjo,"The town of Greeneville is working on roads adjacent to the Visitor Center. This may impact your ability to access the site and parking lot. Call 423-638-3551 for more information, or check the website provided.",2023-03-03 07:46:43.0,Andrew Johnson National Historic Site
Notice to travelers to National Cemetery,anjo,"Due to the narrow roadway & tight turn, RVs, mobile homes, charter buses, delivery trucks, or vehicles with trailers are prohibited from the crest of Monument Hill. Check for information about parking at the Visitor Center upon your arrival.",2019-08-12 15:39:35.0,Andrew Johnson National Historic Site
2023 Firefly Viewing Event Dates and Information,cong,The 2023 Firefly Viewing Event will take place from May 13-16 and May 19-24. Please see our event information page for details on entering the lottery for an event pass.,2023-03-24 12:46:50.0,Congaree National Park
"RVs, Trailers and Other Oversized Vehicles (Limited Parking)",cong,"Due to increased visitation, parking lots often fill up early. Visitors need to be aware that parking for larger vehicles is very limited. RVs using ""tow dollies"" may have to unhook towed vehicles in order to turn around in the parking lot on busy days.",2021-06-21 11:03:54.0,Congaree National Park
Being Prepared for a Wilderness Experience,cong,"Some of the park's trails require advanced navigation (compass & maps), climbing over downed trees & crossing through water. Please choose trails that fit your preferences & abilities. Visit the Trail Information page to learn more about the park's trails",2020-12-15 12:49:47.0,Congaree National Park
Be aware of changing beach conditions,pais,Beach conditions can change without warning. Check current tide charts and weather forecasts before traveling on the beach.,2023-03-24 11:16:09.0,Padre Island National Seashore
4-wheel drive required for beach driving,pais,4-wheel drive is required for driving on North and South Beach.,2023-03-24 11:11:47.0,Padre Island National Seashore
Big Bend Spring = Full Campgrounds,bibe,"March is the busiest time of the year in Big Bend. Please plan ahead and do NOT travel all the way to Big Bend without camping/lodging arrangements. Be prepared for full parking and busy facilities. Select ""more"" below for further details.",2023-03-24 10:31:00.0,Big Bend National Park
Safety Alert: Santa Elena Canyon Trail,bibe,"Depending upon recent rains, Terlingua Creek may be dry sand, thick mud, or flowing water. Carefully assess conditions before attempting to cross. Follow trail signs for the correct crossing location. Do NOT Cross at other locations.",2023-03-21 17:44:45.0,Big Bend National Park
Tuff Canyon TRAIL CLOSURE,bibe,"The Tuff Canyon Trail and overlooks are CLOSED to entry until further notice, due to a rock fall and unstable slopes.",2023-02-03 09:39:30.0,Big Bend National Park
Temporary Trail Closure to Protect Nesting Falcons,bibe,"From February 1st through May 31st, a portion of the East Rim Trail in the Chisos Mountains will be closed to protect nesting falcons. The closure includes East Rim backpacking campsites ER-4, 5, 6, 7, 8, 9. For details and a map, click ""more.""",2023-01-31 16:44:18.0,Big Bend National Park
