Park Name,parkCode,Description,Directions,Address
Fort Union National Monument,foun,"Exposed to the wind, within a sweeping valley of short grass prairie, amid the swales of the Santa Fe Trail, lie the territorial-style adobe remnants of the largest 19th century military fort in the region. For forty years, 1851-1891, Fort Union functioned as an agent of political and cultural change, whether desired or not, in New Mexico and throughout the Southwest.","Fort Union National Monument is located in the Northeastern portion of the state of New Mexico. 8 miles off of Interstate I-25 on State Highway NM 161. New Mexico: From Albuquerque (156 miles), Santa Fe (94 miles) or Las Vegas, NM (28 miles) take I-25 North, exit 366 at Watrous, 8 miles on NM 161. Colorado: From Denver (313 miles), Colorado Springs (243 miles) or Raton (95 miles) take I-25 South, exit 366 at Watrous, 8 miles on NM 161.","3115 NM Highway 161, , , Watrous, NM, 87753"
Fort Union Trading Post National Historic Site,fous,"Between 1828 and 1867, Fort Union was the most important fur trade post on the Upper Missouri River. Here, the Assiniboine and six other Northern Plains Tribes exchanged buffalo robes and smaller furs for goods from around the world, including cloth, guns, blankets, and beads. A bastion of peaceful coexistence, the post annually traded over 25,000 buffalo robes and $100,000 in merchandise.","Located on North Dakota Highway 1804 right at the Montana and North Dakota state line. From Williston, ND, approximately 25 miles to the southwest via ND Highways 2 & 1804. From Sidney, MT, approximately 25 miles to the northeast, via MT Highways 200 & 58. Commercial flights and rental cars are available in both Williston, ND and Sidney, MT. Amtrak passenger train service and rental cars are available in Williston, ND.","15550 Highway 1804, , , Williston, ND, 58801"
Fort Vancouver National Historic Site,fova,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.","From I-5, take the Mill Plain Boulevard exit (Exit 1-C) and head east. Turn south onto Fort Vancouver Way. At the traffic circle, go east on Evergreen Boulevard and follow signs to the Fort Vancouver Visitor Center. From I-205, go west on Highway 14 about six miles, then take I-5 north. From I-5, take the Mill Plain Boulevard exit (Exit 1-C) and head east. At the traffic circle, go east on Evergreen Boulevard and follow signs to the Fort Vancouver Visitor Center.","1001 E 5th St, , , Vancouver, WA, 98661"
Fort Washington Park,fowa,"Built to defend the river approach to Washington, DC, Fort Washington has stood as silent sentry for over 200 years. As technologies advanced so did Fort Washington, from the brick and stone of the 19th century to the concrete and steel of the 20th century. Joining the National Park Service in 1946, the park continues to protect the Potomac River.","From I-95/495 take exit 3, Indian Head Highway South/MD 210. Travel about 4 miles to Fort Washington Road, turn right. The park is located at the end of the road. From Waldorf, MD: MD228 to Indian Head Highway/MD210 North. Turn left onto Old Fort Road. Continue to end of road, at the stop sign turn left onto Fort Washington Road, continue to park entrance.","13551 Fort Washington Road, , , Fort Washington, MD, 20744"
Fossil Butte National Monument,fobu,"Some of the world's best preserved fossils are found in the flat-topped ridges of southwestern Wyoming's cold sagebrush desert. Fossilized fishes, insects, plants, reptiles, birds, and mammals are exceptional for their abundance, variety, and detail of preservation. Most remarkable is the story they tell of ancient life in the warm, wet environment in and around a freshwater lake.","By car: Travel 9 miles west of Kemmerer, Wyoming on U.S. Highway 30. There is a highway sign near mile post 44; turn right onto Lincoln County Road 300. The Historic Quarry Trail is approximately 1/2 mile on the right. Continue west on County Road 300 for approximately 1.5 miles to Chicken Creek Road which provides access to the visitor center, scenic drive, Nature Trail and picnic area. Closest airports: Rock Springs, Wyoming (130 miles); Salt Lake City, Utah (150 miles).","864 Chicken Creek Road, , , Kemmerer, WY, 83101"
Franklin Delano Roosevelt Memorial,frde,These words by President Franklin Delano Roosevelt ushered the United States into World War II and defined what it is to be an American. Stop by this secluded memorial and begin to understand the Roosevelt legacy.,"GPS Coordinates: 38.883625, -77.043868 Address: 400 West Basin Drive SW, Washington, D.C. Nearest Intersection: West Basin Drive SW & Ohio Drive. SW","400 West Basin Drive SW, , , Washington, DC, 20002"
Frederick Douglass National Historic Site,frdo,"Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.","The site can be reached by car, public transportation, or on foot. See the directions page of the website for more detailed information.","1411 W Street SE, , , Washington, DC, 20020"
Frederick Law Olmsted National Historic Site,frla,"Frederick Law Olmsted (1822-1903) is recognized as the founder of American landscape architecture and the nation's foremost parkmaker. Olmsted moved his home to suburban Boston in 1883 and established the world's first full-scale professional office for the practice of landscape design. During the next century, his sons and successors perpetuated Olmsted's design ideals, philosophy, and influence.","Site is located on the southwest corner of Warren and Dudley Streets in Brookline, south of Route 9, near the Brookline Reservoir. Site is 0.7 miles from the Brookline Hills MBTA stop on the Green Line, D Branch.","99 Warren Street, , , Brookline, MA, 02445"
Fredericksburg & Spotsylvania National Military Park,frsp,"Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania, this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown.","Fredericksburg and Spotsylvania National Military Park manages 4 battlefields and multiple historical sites across multiple counties. The park is located approximately 50 miles south of Washington DC. Different battlefields and historical sites are accessible via I-95 and VA Route 3. For directions and physical addresses for each of our sites, please visit the Directions & Transportation section of our website.","120 Chatham Ln, , , Fredericksburg, VA, 22405"
Freedom Riders National Monument,frri,"In 1961, a small interracial band of “Freedom Riders” challenged discriminatory laws requiring separation of the races in interstate travel. They were attacked by white segregationists, who firebombed the bus. Images of the attack appeared in hundreds of newspapers, shocking the American public and spurring the Federal Government to issue regulations banning segregation in interstate travel.","Directions to the Bus Burning Site, from Atlanta and Points East: From I-20, take exit 179 toward AL-202 E/US-78/Coldwater. Merge onto Alabama State Highway 202. Turn right onto Old Birmingham Hwy. The Bus Burning site is located on the right. Limited parking is available at the burn site with entry from the Old Birmingham Hwy. There is no authorized parking or pedestrian activity along State Route 202. For directions to the Anniston Greyhound Bus Depot, click on link below.","Freedom Riders National Monument, 1031 Gurnee Ave, , Anniston, AL, 36201"
Friendship Hill National Historic Site,frhi,"Albert Gallatin is best remembered for his thirteen year tenure as Secretary of the Treasury during the Jefferson and Madison administrations. In that time he reduced the national debt, purchased the Louisiana Territory and funded the Lewis & Clark exploration. Gallatin's accomplishments and contributions are highlighted at Friendship Hill, his restored country estate.","Friendship Hill NHS is located on PA 166 three miles north of Point Marion, Pennsylvania.","223 New Geneva Rd., , , Point Marion, PA, 15470"
